order_item_id,order_id,order_date,order_status,item_status,user_id,country,city,product_id,product_name,category,brand,sale_price
88002,60472,2025-01-01,Shipped,Shipped,48329,United States,Camarillo,14194,Isotoner Women's Smart Touchscreen Compatible Glove,Accessories,Isotoner,24.450000762939453
171939,118140,2025-01-01,Shipped,Shipped,94637,China,Dalian,23954,Smartwool Men's PhD Smartloft Divide Full Zip,Outerwear & Coats,SmartWool,200.0
32798,22502,2025-01-01,Cancelled,Cancelled,17993,Brasil,Ipatinga,17132,ICECREAM Men's Long Sleeve Singing Cherry Pullover,Fashion Hoodies & Sweatshirts,ICECREAM,78.0
43342,29787,2025-01-01,Complete,Complete,23744,United States,Shanor-Northvue,24401,Men's Full Length Overcoat in Pure Cashmere,Outerwear & Coats,Cashmere Boutique,449.0
43243,29723,2025-01-01,Returned,Returned,23685,Australia,Sydney,9444,Imported from Italy - Trasparenze Pennac Seamed Sheer to Waist Pantyhose with Cuban Full Fashioned Heel,Socks & Hosiery,Trasparenze,19.989999771118164
18209,12471,2025-01-01,Cancelled,Cancelled,10032,China,Dongguan,21422,Joe's Jeans Men's Classic Benny Straight Leg Jean,Jeans,Joe's Jeans,138.0
127774,87717,2025-01-01,Complete,Complete,70071,Brasil,Salvador,15464,Dreams and Company Plus Size Short French terry robe,Plus,DREAMS,29.989999771118164
127775,87717,2025-01-01,Complete,Complete,70071,Brasil,Salvador,434,Tresics Femme Long Sleeve Crew Neck Top,Tops & Tees,Tresics,9.8999996185302717
166788,114612,2025-01-01,Cancelled,Cancelled,91800,Brasil,Itápolis,24814,HUGO BOSS Men's Multicolored Microstripe Dress Mid Calf Sock,Socks,HUGO BOSS,14.0
84951,58403,2025-01-01,Returned,Returned,46614,Australia,Marmadua,16444,Cubavera Men's Long Sleeve,Tops & Tees,Cubavera,44.9900016784668
32619,22374,2025-01-01,Shipped,Shipped,17892,United States,Virginia Beach,13163,Energy: Ring Baby Doll Swimsuit Top,Swim,Blue Sky Swimwear,50.0
22999,15777,2025-01-01,Shipped,Shipped,12627,China,Handan,2343,neff Juniors Adventure,Fashion Hoodies & Sweatshirts,NEFF,70.0
170867,117394,2025-01-01,Shipped,Shipped,94013,Spain,Puertollano,7354,120 Agan Traders SKT Dancing Renaissance Vintage Embroidered Skirt,Skirts,Agan Traders,36.9900016784668
170868,117394,2025-01-01,Shipped,Shipped,94013,Spain,Puertollano,3699,eloquii Draped One Shoulder Dress,Dresses,eloquii,65.4000015258789
173519,119245,2025-01-01,Complete,Complete,95495,China,Four-stage,21306,Big Star Men's Pioneer Bootcut Fit Jean in Fervor,Jeans,BIG STAR,98.0
173520,119245,2025-01-01,Complete,Complete,95495,China,Four-stage,19621,Psycho Bunny Men's Striped Crew Neck Sweater,Sweaters,Psycho Bunny,150.0
149284,102506,2025-01-01,Shipped,Shipped,82048,France,Paris,4588,7 For All Mankind Women's Kimmie Straight Leg Jean,Jeans,7 For All Mankind,198.0
126715,87007,2025-01-01,Shipped,Shipped,69512,United Kingdom,Bristol,11620,Half Slip Sand24-M,Intimates,Ilusion,7.9800000190734863
162484,111653,2025-01-01,Processing,Processing,89427,France,Toulon,11992,A3055 - Victorian Cream Corset,Intimates,Corset Story,38.0
118329,81257,2025-01-01,Shipped,Shipped,64937,Brasil,Macaúbas,28973,Native Eyewear Throttle Sunglasses,Accessories,Native Eyewear,80.6500015258789
92814,63803,2025-01-01,Cancelled,Cancelled,50956,Brasil,Ponta Porã,7069,Ladies Pinstripe 5 Pocket Stretch Jean Shorts Light Blue,Shorts,FineBrandShop,9.8999996185302717
81164,55765,2025-01-01,Returned,Returned,44510,China,Transport,7203,Hollister Women's Plaid Miniskirt,Skirts,Hollister,36.0
25415,17441,2025-01-01,Returned,Returned,13929,China,Zhengzhou,9744,Hot Chillys Kid's Mid Weight Bottom,Sleep & Lounge,Hot Chillys,32.0
33923,23280,2025-01-01,Complete,Complete,18612,China,NanNing,16665,UltraClub Adult Mini Thermal Henley Shirt. 8456,Tops & Tees,UltraClub,23.989999771118164
15941,10896,2025-01-01,Shipped,Shipped,8772,United States,Los Angeles,27212,HUGO BOSS Men's Shawl Collar Robe,Sleep & Lounge,HUGO BOSS,90.3000030517578
160899,110560,2025-01-01,Complete,Complete,88574,Brasil,Pitangueiras,921,Alki'i Full sleeve V-neck thigh high cardigan - Double Breasted- 4 colors,Sweaters,Alki'i,26.989999771118164
141542,97159,2025-01-01,Returned,Returned,77725,Brasil,Goiana,20421,Brand New Landisun Wedding Tuxedo Silk Vest / waistcoat Set:(Silk Vest + tie + hanky + cufflinks) Black Paisley 261VS,Suits & Sport Coats,Landisun,79.989997863769531
70728,48598,2025-01-01,Processing,Processing,38786,China,Shenzhen,20459,Club Room Khaki Olive Window Pane LS 2 Button Sport Coat,Suits & Sport Coats,Club Room,175.0
70729,48598,2025-01-01,Processing,Processing,38786,China,Shenzhen,23977,Men's Cashmere Pea Coat,Outerwear & Coats,Cashmere Boutique,199.0
79867,54887,2025-01-01,Complete,Complete,43839,Brasil,Apodi,27692,Rufskin - Parati -Rufskin Parati- Mesh Sunga Swimwear - Orange Lime or Lemon,Swim,Rufskin,52.0
39328,26966,2025-01-01,Processing,Processing,21522,China,Foshan,25602,Calvin Klein Men's Body Boxer Brief,Underwear,Calvin Klein,22.0
62812,43113,2025-01-01,Shipped,Shipped,34429,United States,Dodge City,20189,Purple pattern Formal Vest for Men Gift Idea with Neck Tie Cufflinks Handkerchief Bow Tie for Suit Y&G VS1021,Suits & Sport Coats,Y&G,36.950000762939446
126016,86528,2025-01-01,Processing,Processing,69122,United States,Clovis,28603,Fox Men's C Note Wallet,Accessories,Fox,24.0
59974,41145,2025-01-01,Processing,Processing,32859,China,Taiyuan,11267,Maidenform Control It! Packaged Hi-Waist Capri,Intimates,Maidenform,19.0
5226,3533,2025-01-01,Cancelled,Cancelled,2829,United States,Wilmington,12274,3-Piece Matching Set Laura High Quality Push-up Bra Thong & Bikini #SL101010 Made in Colombia,Intimates,Laura,30.950000762939453
138839,95306,2025-01-01,Complete,Complete,76238,China,Langfang,20048,Tommy Hilfiger Men's Windowpane Trim Fit Suit,Suits & Sport Coats,Tommy Hilfiger,259.989990234375
101193,69540,2025-01-01,Processing,Processing,55593,South Korea,Seoul,8075,Lesuit Women's Twill Skirt Suit,Suits,Lesuit,81.2300033569336
101194,69540,2025-01-01,Processing,Processing,55593,South Korea,Seoul,9809,Violet and Black tartan plaid check tie cord flannel cotton pants for lounging sleep sports. Unisex relaxed fit,Sleep & Lounge,Touch of Europe Flannel Pants,24.989999771118164
73828,50739,2025-01-01,Shipped,Shipped,40528,Brasil,Duque de Caxias,24789,Men's Pattern Dress Socks 12 Pair Pattern Variety Size 10-13,Socks,Executive Dress Series,28.989999771118164
32502,22298,2025-01-01,Complete,Complete,17831,China,Shenzhen,8882,Steve Madden Legwear Women's 2 Pack Solid Sweater Knit Tight,Socks & Hosiery,Steve Madden,25.0
20691,14192,2025-01-01,Returned,Returned,11407,China,Nanjing,16891,Carhartt Men's Flame Resistant Tradesman Twill Shirt,Tops & Tees,Carhartt,75.629997253417969
105390,72389,2025-01-01,Shipped,Shipped,57810,South Korea,Seoul,6182,LeggingsQueen Winter Basic Napping Leggings,Leggings,LeggingsQueen,19.950000762939453
108734,74683,2025-01-01,Returned,Returned,59673,China,Huludao,25236,Fruit of the Loom Men's Work Gear Heavy Duty Crew Socks 6-Pairs - 6-12,Socks,Fruit of the Loom,15.989999771118164
108735,74683,2025-01-01,Returned,Returned,59673,China,Huludao,27940,Body Glove Men's Vaporskin Stealth Boardshort,Swim,Body Glove,45.0
34099,23397,2025-01-02,Complete,Complete,18697,United States,Springfield,2384,Quiksilver Original Hoodie,Fashion Hoodies & Sweatshirts,Quiksilver,29.989999771118164
34100,23397,2025-01-02,Complete,Complete,18697,United States,Springfield,13178,Trina Turk Women's Aquarius Bandeau One Pc,Swim,Trina Turk,138.0
21169,14536,2025-01-02,Cancelled,Cancelled,11700,Brasil,Catende,813,Port Authority - Ladies Silk Touch Interlock Cardigan. L530,Sweaters,Port Authority,42.9900016784668
159668,109716,2025-01-02,Complete,Complete,87892,United States,Fayetteville,17662,Allegra K Men Trendy Casual Printed Eagle Pattern Detail Hoodie Dark Red S,Fashion Hoodies & Sweatshirts,Allegra K,18.590000152587887
117204,80470,2025-01-02,Processing,Processing,64325,France,Rouen,3976,Allegra K Women Black Round Neck Mesh upper Sleeveless Pullover Mini Dress S,Dresses,Allegra K,11.140000343322754
117205,80470,2025-01-02,Processing,Processing,64325,France,Rouen,8458,Spiewak Women's Mcelroy Jacket,Outerwear & Coats,Spiewak,257.95001220703125
69358,47628,2025-01-02,Shipped,Shipped,38023,United States,Orlando,12328,100% Silk Knit 3PC Lounge Set - Green With Blue Lace,Intimates,Everjune,89.949996948242173
22433,15383,2025-01-02,Shipped,Shipped,12322,China,Nanchang,8317,Via Spiga Women's Luca Coat,Outerwear & Coats,Via Spiga,194.99000549316409
19621,13468,2025-01-02,Complete,Complete,10818,China,Kunming,5320,Rafaella Women's Comfort Pant,Pants & Capris,Rafaella,43.229999542236328
24786,17000,2025-01-02,Processing,Processing,13571,France,Castres,21392,7 For All Mankind Men's Standard Classic Straight Leg Jean in Swedish Blue,Jeans,7 For All Mankind,141.75
144402,99152,2025-01-02,Processing,Processing,79370,France,Bains-sur-Oust,21658,Columbia Men's Ultimate Roc Pant,Pants,Columbia,65.0
80339,55212,2025-01-02,Processing,Processing,44086,United Kingdom,Liverpool,22272,Dockers Men's Limited Offer D0 Skinny Fit Prince of Wales Plaid Pant,Pants,Dockers,59.9900016784668
18358,12572,2025-01-02,Cancelled,Cancelled,10119,Spain,Urbanización Roche Alto,8125,Tahari Ruthy Skirt Suit,Suits,Tahari,147.1300048828125
55696,38242,2025-01-02,Shipped,Shipped,30541,China,Beijing,27136,Majestic International Men's Micro Loop Drop Needle Shawl Robe,Sleep & Lounge,Majestic International,122.37999725341795
177611,122071,2025-01-02,Complete,Complete,97699,Brasil,Goiana,2958,Royal Robbins Women's Urban Pea Coat,Active,Royal Robbins,159.94999694824219
177612,122071,2025-01-02,Complete,Complete,97699,Brasil,Goiana,4692,FUNFASH SKINNY STRETCH BLUE DENIM FRAYED DESTORYED LOW RISE JEANS Womens New Made in USA,Jeans,Funfash,34.9900016784668
177613,122071,2025-01-02,Complete,Complete,97699,Brasil,Goiana,7510,eloquii Classic Fit Peak Lapel Jacket,Blazers & Jackets,eloquii,101.40000152587892
177614,122071,2025-01-02,Complete,Complete,97699,Brasil,Goiana,13812,Lodis Audrey Zipper Pocket Card Case,Accessories,Lodis,38.0
12834,8784,2025-01-02,Cancelled,Cancelled,7062,United States,Ocoee,12440,Luxury Lane Women's Leopard Print Lace Insert Bra & Ruffle Skirt 2-Piece Set,Intimates,Luxury Lane,24.989999771118164
12835,8784,2025-01-02,Cancelled,Cancelled,7062,United States,Ocoee,10839,Jezebel Women's Show Off Cheeky Boyshort,Intimates,Jezebel,10.0
15429,10540,2025-01-02,Cancelled,Cancelled,8490,Brasil,Campo Alegre,16829,Bravado Men's Slipknot Splatter Men's T-Shirt,Tops & Tees,Bravado,23.989999771118164
4048,2749,2025-01-02,Returned,Returned,2200,United Kingdom,Caddington,19871,Elegant Men's Two button Three piece Strip Suit,Suits & Sport Coats,King Formal Wear,99.989997863769517
16045,10970,2025-01-02,Processing,Processing,8830,China,Guiyang,18026,Fourstar Anderson Signature Button-Up Sweater - Wine,Fashion Hoodies & Sweatshirts,Fourstar,48.0
16046,10970,2025-01-02,Processing,Processing,8830,China,Guiyang,20611,Fourstar Men's Collective Denim Pant,Jeans,Fourstar,52.0
16047,10970,2025-01-02,Processing,Processing,8830,China,Guiyang,28664,Dickies Men's 40Mm Bridle With Double Row Stitch Belt,Accessories,Dickies,10.020000457763672
33640,23097,2025-01-02,Complete,Complete,18463,France,Rennes,964,ROMEO & JULIET COUTURE Ridge Knit Turtleneck Sweater [RJ26505],Sweaters,Romeo & Juliet Couture,36.950000762939446
140628,96547,2025-01-02,Shipped,Shipped,77221,China,Wuhan,19389,Nautica Men's Fair Isle Crewneck Sweater,Sweaters,Nautica,56.599998474121087
140629,96547,2025-01-02,Shipped,Shipped,77221,China,Wuhan,24414,Nautica Men's Color Blocked Jacket,Outerwear & Coats,Nautica,87.5
158230,108707,2025-01-02,Shipped,Shipped,87071,China,Yongzhou,24165,High Visibility Class III Reflective Jacket Removable Lining Two Tone,Outerwear & Coats,Boston Industrial,45.950000762939446
158231,108707,2025-01-02,Shipped,Shipped,87071,China,Yongzhou,25041,Rockport Mens Crew Combed Cotton Dress Socks - Multi-Pattern 3 Pack - Size 10-13 - Colors Available,Socks,Rockport,18.0
155062,106450,2025-01-02,Processing,Processing,85213,United States,Bellevue,4100,Allegra K Ladies Scoop Neck Sleeveless Zipper Back Self Tie String Waist Jumpsuit Blue XS,Jumpsuits & Rompers,Allegra K,11.949999809265137
168368,115675,2025-01-02,Shipped,Shipped,92691,China,Xining,1804,Aeropostale Womens; Juniors Grey Aero NYC Athletics Popover Hoodie Coordinated with Aero's Seafoam Green Metallic Lace V-Neck Cami; Camisole,Fashion Hoodies & Sweatshirts,Aeropostale,48.0
155805,106980,2025-01-02,Processing,Processing,85636,United States,Palm Harbor,21384,Walls Mens Work Fire Retardant Denim 5 Pocket Jeans FR,Jeans,Walls,84.580001831054688
38548,26435,2025-01-02,Complete,Complete,21108,Germany,Melle,7536,eloquii Banded Mod Jacket,Blazers & Jackets,eloquii,77.4000015258789
38549,26435,2025-01-02,Complete,Complete,21108,Germany,Melle,10113,Mickey Mouse Disney Juniors Two Piece Pajama Pants And T-Shirt Set,Sleep & Lounge,Disney,29.950000762939453
125245,85993,2025-01-02,Processing,Processing,68678,China,Handan,1766,FactoryExtreme Arctic Freeze Women's Black Bomber Leather Jacket with Hoodie,Fashion Hoodies & Sweatshirts,FactoryExtreme,248.97999572753903
101445,69712,2025-01-02,Shipped,Shipped,55722,China,Harbin,10470,Warner's Women's Elements of Bliss Wire-Free Contour  #2003,Intimates,Warner's,34.0
101446,69712,2025-01-02,Shipped,Shipped,55722,China,Harbin,3753,Patty Women Cute Black & White Spotted Halter Cocktail Party Dress,Dresses,Patty,34.979999542236328
169917,116766,2025-01-02,Shipped,Shipped,93532,United States,New York,6841,American Apparel Unisex Corduroy West Coast Short,Shorts,American Apparel,34.0
51071,35049,2025-01-02,Processing,Processing,27976,Australia,Sydney,11066,Calvin Klein Women's Brief Encounters Thong,Intimates,Calvin Klein,12.0
51407,35282,2025-01-02,Shipped,Shipped,28183,China,Beijing,20608,Calvin Klein Mens Relaxed Fit Straight Jean,Jeans,Calvin Klein,49.5
53186,36495,2025-01-02,Complete,Complete,29144,China,Luohe,27137,Nautica 085989 Plaid Sleepwear Pants,Sleep & Lounge,Nautica,16.659999847412109
25446,17461,2025-01-02,Returned,Returned,13948,France,Le Havre,11277,Amazing Shape Mid-Thigh Bodysuit Shaper,Intimates,Leonisa,80.0
105186,72261,2025-01-02,Shipped,Shipped,57720,China,Foshan,4216,Hudson Women's Signature Boot,Jeans,Hudson,198.0
163212,112152,2025-01-02,Shipped,Shipped,89834,China,Xi'an,5897,ililily Leggings with nordic snowflakes patterned skirt Fold over Skirt leggings Full length Stretch Skinny Pants (leggings-025),Leggings,ililily,19.989999771118164
105585,72529,2025-01-02,Returned,Returned,57916,Japan,Nishinomiya City,26526,Mens New Micro Fleece Bathrobe by Wanted,Sleep & Lounge,Wanted,34.970001220703125
118958,81688,2025-01-02,Processing,Processing,65271,China,Zhongshan,5757,Woman Within Plus Size Petite leggings capris in stretch knit,Leggings,Woman Within,19.989999771118164
25717,17644,2025-01-02,Shipped,Shipped,14082,China,Shenzhen,25277,DC Men's Shy Guy Socks,Socks,DC,32.0
84936,58392,2025-01-02,Shipped,Shipped,46605,Japan,Tokyo,26408,Bjorn Borg Men's Side Stretch Brief,Underwear,Bjorn Borg,15.600000381469728
42759,29374,2025-01-02,Processing,Processing,23419,United States,Plattsburgh,20954,Wrangler Men's Rugged Wear Stretch Jean,Jeans,Wrangler,33.0
152084,104442,2025-01-02,Processing,Processing,83594,Germany,Ingelheim am Rhein,22533,KingSize Big & Tall Expandable Waist Wrinkle Resistant Double-Pleated Chinos,Pants,KingSize,55.4900016784668
120061,82437,2025-01-02,Shipped,Shipped,65871,China,Bijie,24388,Carhartt Men's Big-Tall Sandstone Active Jacket,Outerwear & Coats,Carhartt,115.0
18279,12515,2025-01-02,Processing,Processing,10070,China,Shaoguan,27341,MARRIKAS Unisex LARGE Egyptian Cotton WHITE ROBE,Sleep & Lounge,Marrikas,59.9900016784668
18280,12515,2025-01-02,Processing,Processing,10070,China,Shaoguan,19904,Austin Reed Men's Classic Fit Blazer,Suits & Sport Coats,Austin Reed,138.60000610351562
52512,36032,2025-01-02,Cancelled,Cancelled,28773,China,Haixi Mongolian Tibetan Autonomous Prefecture,15265,Scarf - Textured Silk,Plus,Red Blossom,8.9499998092651367
37319,25621,2025-01-02,Complete,Complete,20438,United States,Houston,21865,Woolrich Men's Elite Concealed Carry Tactical Chinos Pant,Pants,Woolrich,65.0
160814,110495,2025-01-02,Processing,Processing,88521,China,Zhaoqing,26793,Gray and Black Plaid Flannel Bath Robe for Men,Sleep & Lounge,Acura,17.989999771118164
15094,10308,2025-01-02,Cancelled,Cancelled,8290,Spain,Valencia,13850,DG30 C2 DG Eyewear Celebrity Inspired Women's Sunglasses with Hard Protective Case,Accessories,DG Eyewear,11.130000114440918
15095,10308,2025-01-02,Cancelled,Cancelled,8290,Spain,Valencia,10465,Vanity Fair Women's Enchanted Lace Full Figure Underwire,Intimates,Vanity Fair,42.9900016784668
93227,64077,2025-01-02,Complete,Complete,51181,China,Bengbu,17236,ALPINESTARS Men's Destroyer Hoodie,Fashion Hoodies & Sweatshirts,Alpinestars,77.839996337890625
93228,64077,2025-01-02,Complete,Complete,51181,China,Bengbu,28194,Quiksilver Men's Finder Wallet,Swim,Quiksilver,16.0
61746,42369,2025-01-02,Processing,Processing,33851,China,Guangzhou,6237,Anna-Kaci S/M Fit Multicoloured Liberty Clocks Comic Graphics Inspired Leggings,Leggings,Anna-Kaci,14.899999618530272
115332,79200,2025-01-02,Returned,Returned,63288,United States,Interlaken,21902,Ralph Lauren Mens Double Pleated Tan Wool Dress Pants,Pants,Ralph Lauren,89.989997863769531
98920,67978,2025-01-02,Shipped,Shipped,54348,China,Taiyuan,27916,Rufskin - Buzio - Brazilian Mesh Sunga - White or Black,Swim,Rufskin,54.0
104272,71637,2025-01-02,Complete,Complete,57203,Spain,Madrid,6633,Roxy Juniors Desert Suns Denim Short,Shorts,Roxy,39.5
104917,72078,2025-01-02,Complete,Complete,57571,Spain,Vigo,6436,Guy Harvey Billfish Plaid Junior Dorm Shorts,Shorts,Guy Harvey,18.989999771118164
23079,15836,2025-01-02,Shipped,Shipped,12671,United Kingdom,Winterton,14801,A Pea in the Pod: Sleeveless V-neck Rib Knit Maternity Sleep Top,Maternity,A Pea in the Pod,29.5
123339,84668,2025-01-02,Cancelled,Cancelled,67685,Brasil,Lapa,20078,Calvin Klein Mens Slim Fit Dark Gray Windowpane Wool Suit,Suits & Sport Coats,Calvin Klein,199.99000549316409
78287,53808,2025-01-02,Processing,Processing,42977,China,Baoding,1042,Woolrich Women's Laurel Cardigan,Sweaters,Woolrich,78.949996948242173
78288,53808,2025-01-02,Processing,Processing,42977,China,Baoding,12890,Seafolly Women's Goddess Mini Hipster Retro Pant,Swim,Seafolly,46.0
78289,53808,2025-01-02,Processing,Processing,42977,China,Baoding,9690,Hue Sleepwear Women's Micro Cocktails Sleepwear Thermal Set,Sleep & Lounge,HUE,35.900001525878906
78290,53808,2025-01-02,Processing,Processing,42977,China,Baoding,10938,Yimei Women's Sexy Panty Briefs Knickers Bikini Lingerie Underwear,Intimates,Yimei,3.9900000095367432
148744,102135,2025-01-02,Cancelled,Cancelled,81763,United States,Sanford,19462,Port Authority K321 Interlock Knit Mock Turtleneck,Sweaters,Port Authority,33.0
116626,80086,2025-01-02,Cancelled,Cancelled,64029,United States,Oak Harbor,22474,Paul Fredrick 100% Wool Gabardine Pleated Front Trim Fit Pants,Pants,Paul Fredrick,99.5
148882,102234,2025-01-02,Processing,Processing,81841,Belgium,Houthalen-Helchteren,9529,Casual Moments Women's Marshmallow Hooded Wrap,Sleep & Lounge,Casual Moments,39.9900016784668
79765,54821,2025-01-02,Shipped,Shipped,43792,China,Hefei,5187,Lee Women's Petite Side Elastic Pleated Stretch Khakis - Navy - 465-3641a,Pants & Capris,Lee,27.899999618530277
79766,54821,2025-01-02,Shipped,Shipped,43792,China,Hefei,8340,Anne Klein Women's Stacy Coat,Outerwear & Coats,Anne Klein,131.94000244140625
123922,85068,2025-01-03,Complete,Complete,67975,Japan,Yokohama City,14142,Kate Spade New York Mikas Pond-Meaghan  Wallet,Accessories,Kate Spade,78.0
123923,85068,2025-01-03,Complete,Complete,67975,Japan,Yokohama City,13405,Sale Purple and Black Tankini Swim Suit Womens 2 PC Set Sizes 10 12 or 14,Swim,Mainstream,24.989999771118164
1960,1323,2025-01-03,Complete,Complete,1051,Brasil,Seropédica,1243,Calvin Klein Jeans Women's Chunky Cotton Sweater,Sweaters,Calvin Klein Jeans,45.650001525878906
148086,101687,2025-01-03,Processing,Processing,81423,United States,Cape Coral,9663,Red Snowflakes Knit Family Matching Loungesets by SleepytimePjs,Sleep & Lounge,SleepytimePjs,52.950000762939446
93467,64232,2025-01-03,Shipped,Shipped,51289,Brasil,Londrina,22364,Polo Ralph Lauren Mens Slim-fit 5-pocket Chino Pants Boating Kahki,Pants,Polo Ralph Lauren,89.5
20259,13900,2025-01-03,Cancelled,Cancelled,11190,United States,Las Vegas,21228,GUESS Falcon Jeans in Quake Wash 32 Inseam,Jeans,GUESS,98.0
179379,123287,2025-01-03,Shipped,Shipped,98625,China,Beijing,5775,Khaki Beige Seamless Capri Leggings Three Quarter Length,Leggings,FineBrandShop,5.9000000953674316
179380,123287,2025-01-03,Shipped,Shipped,98625,China,Beijing,10196,Frederick's of Hollywood Three-Piece Pajama Set Womens,Sleep & Lounge,Frederick's of Hollywood,42.0
16589,11343,2025-01-03,Processing,Processing,9118,United States,Orlando,14024,Maui Jim Sunset Sunglasses - Polarized,Accessories,Maui Jim,127.08000183105467
8430,5728,2025-01-03,Returned,Returned,4613,Spain,Catarroja,21216,Wrangler Men's Retro Straight Leg Jean,Jeans,Wrangler,55.950000762939446
8431,5728,2025-01-03,Returned,Returned,4613,Spain,Catarroja,25373,Tommy Hilfiger Men's 4 Pack Boxer Brief,Underwear,Tommy Hilfiger,40.0
98365,67580,2025-01-03,Processing,Processing,54031,United Kingdom,Lurgan,25495,Fruit of the Loom Men's 4 pack crews,Underwear,Fruit of the Loom,25.0
98366,67580,2025-01-03,Processing,Processing,54031,United Kingdom,Lurgan,20800,Calvin Klein Jeans Men's Relaxed Straight Jean,Jeans,Calvin Klein Jeans,49.5
47319,32492,2025-01-03,Shipped,Shipped,25918,Japan,Kiryu-shi,14800,Freya Rosie Soft Cup Nursing Bra,Maternity,Freya,68.0
42540,29233,2025-01-03,Complete,Complete,23314,China,Huizhou,17491,Swill's Senior Design Jacquard Cardigan Sweater,Fashion Hoodies & Sweatshirts,Swill,57.0
42541,29233,2025-01-03,Complete,Complete,23314,China,Huizhou,24134,Levi's Men's Leather Racer Jacket,Outerwear & Coats,Levi's,249.99000549316409
42542,29233,2025-01-03,Complete,Complete,23314,China,Huizhou,21990,Haggar Men's Life Khaki Slim Fit Flat Front Dress Trouser Pant,Pants,Haggar,36.9900016784668
42543,29233,2025-01-03,Complete,Complete,23314,China,Huizhou,20808,Volcom Men's Enowen Straight Leg Jean,Jeans,Volcom,79.949996948242173
54870,37657,2025-01-03,Shipped,Shipped,30090,Australia,Sunshine Coast,2877,adidas Women's Clima Core Pant,Active,adidas,45.0
77374,53179,2025-01-03,Shipped,Shipped,42491,United States,Chicago,5989,LeggingsQueen Cute Fashion Leggings,Leggings,LeggingsQueen,21.950000762939453
51555,35386,2025-01-03,Complete,Complete,28266,South Korea,Yongin City,28162,Quiksilver Men's Cypher Mutiny Board Short,Swim,Quiksilver,65.0
79236,54454,2025-01-03,Shipped,Shipped,43493,China,Shan Tou,16247,Armani Exchange Shiny Logo Tee,Tops & Tees,A:X Armani Exchange,38.0
142927,98108,2025-01-03,Shipped,Shipped,78459,China,Chengdu,25303,Men's Assorted 6 Pack Designed Dress Socks,Socks,Knocker,16.989999771118164
148516,101991,2025-01-03,Shipped,Shipped,81654,Brasil,Limeira,1139,Jones New York Women's Printed Cowl Neck Top,Sweaters,Jones New York,99.0
148517,101991,2025-01-03,Shipped,Shipped,81654,Brasil,Limeira,11910,Bslingerie Womens Green Gold & Black Ribbon Brocade Boned Corset,Intimates,Bslingerie,19.989999771118164
